Year,Length (min),Title,Subject,Actor,Actress,Director,Popularity,Awards,"Filter cells that had ""The"" at end"
1926,126,Don Juan,Action,John Barrymore,Mary Astor,Alan Crosland,55,No,FALSE
1932,226,The Shadow of the Eagle ,Action,John Wayne,,,19,No,TRUE
1932,210,The Hurricane Express ,Action,John Wayne,,,68,No,TRUE
1939,101,Stanley & Livingstone,Action,Spencer Tracy,Nancy Kelly,Henry King,11,No,FALSE
1940,127,Northwest Passage,Action,Spencer Tracy,Ruth Hussey,King Vidor,51,No,FALSE
1942,101,Flying Tigers,Action,John Wayne,,David Miller,61,No,FALSE
1943,99,Destroyer,Action,Edward G. Robinson,Marguerite Chapman,William A. Seiter,87,No,FALSE
1949,100,The Fighting Kentuckian ,Action,John Wayne,Vera Ralston,George Waggner,74,No,TRUE
1950,112,The Asphalt Jungle ,Action,Sterling Hayden,Marilyn Monroe,John Huston,77,No,TRUE
1951,102,Flying Leathernecks,Action,John Wayne,,Nicholas Ray,23,No,FALSE
1953,92,His Majesty O'Keefe,Action,Burt Lancaster,,Byron Haskin,3,No,FALSE
1953,94,Vera Cruz,Action,Gary Cooper,,Robert Aldrich,71,No,FALSE
1953,116,Mogambo,Action,Clark Gable,Grace Kelly,John Ford,71,No,FALSE
1954,108,Long John Silver,Action,Robert Newton,Connie Gilchrist,Byron Haskin,56,No,FALSE
1956,99,Slightly Scarlet,Action,John Payne,Rhonda Fleming,Allan Dwan,52,No,FALSE
1957,112,Jet Pilot,Action,John Wayne,Janet Leigh,Josef von Sternberg,43,No,FALSE
1957,109,Legend of the Lost,Action,John Wayne,Sophia Loren,Henry Hathaway,84,No,FALSE
1958,104,The Barbarian & the Geisha ,Action,John Wayne,Eiko Ando,John Huston,52,No,TRUE
1959,91,Killers of Kilimanjaro,Action,Robert Taylor,Gregoire Aslan,Richard Thorpe,11,No,FALSE
1960,164,The Alamo ,Action,John Wayne,,John Wayne,29,No,TRUE
1960,91,Never Let Go,Action,Peter Sellers,,,5,No,FALSE
1961,110,Yojimbo,Action,Toshiro Mifune,,Akira Kurosawa,60,No,FALSE
1962,,Dr. No,Action,Sean Connery,Ursula Andress,Terence Young,7,No,FALSE
1962,182,Mutiny on the Bounty,Action,Marlon Brando,,,35,No,FALSE
1964,,From Russia with Love,Action,Sean Connery,,,6,No,FALSE
1964,112,Goldfinger,Action,Sean Connery,Honor Blackman,Guy Hamilton,77,No,FALSE
1966,76,Flight to Fury,Action,Jack Nicholson,,Monte Hellman,70,No,FALSE
1967,81,The Glory Stompers ,Action,Dennis Hopper,Jody McCrea,Anthony M. Lanza,27,No,TRUE
1967,100,A Coeur Joie (Head Over Heels),Action,Laurent Terzieff,Brigitte Bardot,Serge Bourguignon,54,No,FALSE
1968,121,Hellfighters,Action,John Wayne,Katharine Ross,Andrew V. McLaglen,22,No,FALSE
1968,103,Coogan's Bluff,Action,Clint Eastwood,Susan Clark,Don Siegel,57,No,FALSE
1969,80,Rebel Rousers,Action,Jack Nicholson,Diane Ladd,Martin B. Cohen,44,No,FALSE
1969,135,On Her Majesty's Secret Service,Action,George Lazenby,Diana Rigg,Peter R. Hunt,66,No,FALSE
1970,123,The Molly Maguires ,Action,Sean Connery,Samantha Eggar,Martin Ritt,3,No,TRUE
1970,90,Bloody Mama,Action,Don Stroud,Shelley Winters,Roger Corman,17,No,FALSE
1970,89,Menace on the Mountain,Action,Pat Crowley,,Vincent McEveety,69,No,FALSE
1971,121,The Red Tent ,Action,Peter Finch,,Mikhail Kalatozov,7,No,TRUE
1971,110,Big Jake,Action,John Wayne,Maureen O'Hara,George Sherman,68,No,FALSE
1972,71,The Big Bust Out ,Action,Tony Kendall,Karen Carter,Ernst R. von Theumer,50,No,TRUE
1972,92,Fuzz,Action,Burt Reynolds,Raquel Welch,Richard A. Colla,37,No,FALSE
1973,100,The Mackintosh Man ,Action,Paul Newman,Dominique Sanda,John Huston,65,No,TRUE
1973,122,Magnum Force,Action,Clint Eastwood,,Ted Post,28,No,FALSE
1973,87,Stacey!,Action,Anne Randall,Anitra Ford,Andy Sidaris,31,No,FALSE
1973,101,White Lightning,Action,Burt Reynolds,Jennifer Billingsley,Joseph Sargent,54,No,FALSE
1974,127,The Man with the Golden Gun ,Action,Roger Moore,Britt Ekland,Guy Hamilton,41,No,TRUE
1974,82,The Catamount Killing ,Action,Horst Buchholz,Ann Wedgeworth,Krzystoff Zanussi,84,No,TRUE
1974,109,Juggernaut,Action,Richard Harris,,Richard Lester,63,No,FALSE
1974,111,Mc Q,Action,John Wayne,Diana Muldaur,John Sturges,73,No,FALSE
1975,120,The Wind & the Lion ,Action,Sean Connery,Candice Bergen,John Milius,2,No,TRUE
1975,89,The Terrorists ,Action,Sean Connery,Isabel Dean,Caspar Wrede,4,No,TRUE
1975,112,The Yakuza ,Action,Robert Mitchum,,Sydney Pollack,16,No,TRUE
1975,130,The Eiger Sanction ,Action,Clint Eastwood,Vonetta McGee,Clint Eastwood,69,No,TRUE
1975,124,Jaws,Action,Roy Scheider,Lorraine Gary,Steven Spielberg,6,No,FALSE
1975,93,That Lucky Touch,Action,Roger Moore,Susannah York,Christopher Miles,85,No,FALSE
1976,128,Shout at the Devil,Action,Lee Marvin,Barbara Parkins,Peter R. Hunt,0,No,FALSE
1976,106,Robin & Marian,Action,Sean Connery,Audrey Hepburn,Richard Lester,6,No,FALSE
1976,92,Street People,Action,Roger Moore,,Maurizio Lucidi,25,No,FALSE
1977,109,The Gauntlet ,Action,Clint Eastwood,Sondra Locke,Clint Eastwood,18,No,TRUE
1977,136,The Spy Who Loved Me ,Action,Roger Moore,Barbara Bach,Lewis Gilbert,27,No,TRUE
1977,120,The Prince & the Pauper ,Action,Oliver Reed,Raquel Welch,Richard Fleischer,86,No,TRUE
1978,132,The Wild Geese ,Action,Richard Burton,Rosalind Lloyd,Andrew V. McLaglen,21,No,TRUE
1978,145,The Superman  Movie,Action,Marlon Brando,Margot Kidder,Richard Donner,87,No,TRUE
1978,111,Brass Target,Action,John Cassavetes,Sophia Loren,John Hough,53,No,FALSE
1979,88,The Treasure Seekers ,Action,Stuart Whitman,Elke Sommer,,2,No,TRUE
1979,105,Meteor,Action,Sean Connery,Natalie Wood,Ronald Neame,5,No,FALSE
1979,122,Cuba,Action,Sean Connery,Brooke Adams,Richard Lester,6,No,FALSE
1979,115,Hurricane,Action,Jason Robards,Mia Farrow,Jan Troell,8,No,FALSE
1979,85,Cocaine Cowboys,Action,Jack Palance,Suzanna Love,Ulli Lommel,17,No,FALSE
1979,128,Moonraker,Action,Roger Moore,Lois Chiles,Lewis Gilbert,32,No,FALSE
1979,112,Blood Feud,Action,Marcello Mastroianni,Sophia Loren,Lina Wertmuller,52,No,FALSE
1979,95,Scum,Action,Ray Winstone,,Alan Clarke,68,No,FALSE
1980,92,The Final Countdown ,Action,Kirk Douglas,Katharine Ross,Don Taylor,35,No,TRUE
1980,99,Ffolkes,Action,Roger Moore,,Andrew V. McLaglen,62,No,FALSE
1981,116,Raiders of the Lost Ark,Action,Harrison Ford,Karen Allen,Steven Spielberg,8,No,FALSE
1981,129,For Your Eyes Only,Action,Roger Moore,Carole Bouquet,John Glen,86,No,FALSE
1981,135,Choice of Arms,Action,Yves Montand,Catherine Deneuve,Alan Corneau,87,No,FALSE
1982,117,Blade Runner,Action,Harrison Ford,Daryl Hannah,Ridley Scott,1,No,FALSE
1982,101,Mother Lode,Action,Charlton Heston,Kim Basinger,Charlton Heston,40,No,FALSE
1982,128,Conan the Barbarian,Action,Arnold Schwarzenegger,Sandahl Bergman,John Milius,45,No,FALSE
1982,136,Firefox,Action,Clint Eastwood,,Clint Eastwood,64,No,FALSE
1982,92,48 Hrs.,Action,Nick Nolte,Annette O'Toole,Walter Hill,67,No,FALSE
1983,,The Moon in the Gutter ,Action,Gérard Depardieu,Nastassia Kinski,Jean-Jacques Beineix,29,No,TRUE
1983,134,Never Say Never Again,Action,Sean Connery,Kim Basinger,Irvin Kershner,8,No,FALSE
1983,97,Breathless,Action,Richard Gere,Valerie Kaprisky,Jim McBride,51,No,FALSE
1983,140,Octopussy,Action,Roger Moore,Maud Adams,John Glen,68,No,FALSE
1984,108,The Terminator ,Action,Arnold Schwarzenegger,Linda Hamilton,James Cameron,17,No,TRUE
1984,83,The Manhunt ,Action,Ernest Borgnine,,Larry Ludman,34,No,TRUE
1984,90,The Inside Man ,Action,Dennis Hopper,,Tom Clegg,45,No,TRUE
1984,102,Sword of the Valiant,Action,Miles O'Keeffe,Emma Sutton,Stephen Weeks,5,No,FALSE
1984,101,Target Eagle,Action,Chuck Connors,Maud Adams,José Antonio de la Loma,14,No,FALSE
1984,92,Crackers,Action,Donald Sutherland,,Louis Malle,17,No,FALSE
1984,96,Roadhouse Sixty-Six,Action,Willem Dafoe,,John Mark Robinson,20,No,FALSE
1984,106,Romancing the Stone,Action,Michael Douglas,Kathleen Turner,Robert  Zemeckis,83,No,FALSE
1985,106,The Jewel of the Nile ,Action,Michael Douglas,Kathleen Turner,Lewis Teague,68,No,TRUE
1985,88,Roller Blade,Action,Jeff Hutchinson,Suzanne Solari,Donald G Jackson,31,No,FALSE
1985,96,Marbella,Action,Rod Taylor,Britt Ekland,Miguel Hermoso,45,No,FALSE
1985,114,To Live & Die in L. A.,Action,Dean Stockwell,,William Friedkin,70,No,FALSE
1986,109,Top Gun,Action,Tom Cruise,Kelly McGillis,Tony Scott,8,No,FALSE
1986,105,King Kong Lives!,Action,Brian Kerwin,Linda Hamilton,John Guillermin,20,No,FALSE
1986,83,Blue City,Action,Judd Nelson,Ally Sheedy,Michelle Manning,38,No,FALSE
1986,87,Cobra,Action,Sylvester Stallone,Brigitte Nielsen,George P. Cosmatos,57,No,FALSE
1986,94,RAD,Action,Bill Allen,Lori Loughlin,Hal Needham,75,No,FALSE
1986,90,Ninja the Violent Sorcerer,Action,NA,,Bruce Lambert,,No,FALSE
1987,106,The Squeeze ,Action,Stacy Keach,Carol White,Michael Apted,23,No,TRUE
1987,90,The Superman IV:  Quest for Peace,Action,Christopher Reeve,Margot Kidder,Sidney J. Furie,77,No,TRUE
1987,91,Big Shots,Action,Ricky Busker,Brynn Thayer,Robert Mandel,5,No,FALSE
1987,104,Lionheart,Action,Eric Stoltz,Deborah Barrymore,Franklin J. Schaffner,9,No,FALSE
1987,90,Ninja Masters of Death,Action,Chris Peterson,Kelly Kruize,Bruce Lambert,15,No,FALSE
1987,86,Fair Game,Action,Peter Ford,Cassandra Delaney,,24,No,FALSE
1987,109,Wisdom,Action,Emilio Estevez,Demi Moore,Emilio Estevez,25,No,FALSE
1987,90,Empire of Spiritual Ninja,Action,Tom Berlin,,Bruce Lambert,26,No,FALSE
1987,114,Into the Homeland,Action,Powers Boothe,Emily Longstreth,Lesli Linka Glatter,34,No,FALSE
1987,97,Hard Ticket to Hawaii,Action,Ronn Moss,Dona Speir,Andy Sidaris,36,No,FALSE
1987,86,Straight to Hell,Action,Dennis Hopper,Grace Jones,Alex Cox,47,No,FALSE
1987,93,Bodycount,Action,Bernie White,Marilyn Hassett,,51,No,FALSE
1987,73,J-Men Forever,Action,Peter Bergman,,Richard Patterson,59,No,FALSE
1987,91,Programmed to Kill,Action,Robert Ginty,Sandahl Bergman,Allan Holzman,71,No,FALSE
1987,91,Penitentiary III,Action,Leon Isaac Kennedy,,Jamaa Fanaka,82,No,FALSE
1987,98,Russkies,Action,Whip Hubley,,Rick Rosenthal,87,No,FALSE
1988,97,The Presidio ,Action,Sean Connery,Meg Ryan,Peter Hyams,4,No,TRUE
1988,103,The Deceivers ,Action,Pierce Brosnan,Shashi Kapoor,Nicholas Meyer,14,No,TRUE
1988,96,Nightmare at Noon,Action,Wings Hauser,Kimberly Beck,Nico Mastorakis,0,No,FALSE
1988,95,Gor,Action,Oliver Reed,Rebecca Ferratti,Fritz Kiersch,2,No,FALSE
1988,90,Dark Age,Action,John Jarratt,,Arch Nicholson,3,No,FALSE
1988,141,Thunderball,Action,Sean Connery,Claudine Auger,Terrence Young,8,No,FALSE
1988,90,Going for the Gold,Action,Anthony Edwards,Sarah Jessica Parker,Dan Taylor,10,No,FALSE
1988,90,Golden Ninja Invasion,Action,Leonard West,Stephanie Burd,Bruce Lambert,13,No,FALSE
1988,85,Casablanca Express,Action,Jason Connery,Luisa Maneri,Sergio Martino,33,No,FALSE
1988,102,Night Train to Katmandu THe,Action,Pernell Roberts,Milla Jovovich,Robert Wiemer,43,No,FALSE
1988,100,Storm,Action,David Palfy,Stacy Christensen Bahtia,David Winning,61,No,FALSE
1988,76,Daffy Duck's Quackbusters,Action,Mel Blanc,Julie Bennett,Greg Ford,68,No,FALSE
1988,95,Gator Bait II,Action,Paul Muzzcat,Jan MacKenzie,Beverly Sebastian,73,No,FALSE
1988,92,Bloodsport,Action, Jean-Claude Van Damme,,Newt Arnold,78,No,FALSE
1989,95,The Rape of the Sabines ,Action,Roger Moore,Mylene Demongeot,,83,No,TRUE
1989,107,The Star Trek V:  Final Frontier,Action,William Shatner,Nichelle Nichols,William  Shatner,87,No,TRUE
1989,113,Family Business,Action,Sean Connery,Rosana DeSoto,Sidney Lumet,5,No,FALSE
1989,102,Dead-Bang,Action,Don Johnson,Penelope Ann Miller,John Frankenheimer,9,No,FALSE
1989,104,Tango & Cash,Action,Sylvester Stallone,Teri Hatcher,Andrei Konchalovsky,9,No,FALSE
1989,89,Fire & Rain,Action,Charles Haid,Angie Dickinson,Jerry Jameson,10,No,FALSE
1989,126,Batman,Action,Jack Nicholson,Kim Basinger,Tim Burton,14,No,FALSE
1989,90,Vampire Raiders Ninja Queen,Action,Chris Peterson,Agnes Chan,Bruce Lambert,15,No,FALSE
1989,99,Picasso Trigger,Action,Steve Bond,Dona Speir,Andy Sidaris,20,No,FALSE
1989,104,Erik the Viking,Action,Tim Robbins,Eartha Kitt,Terry Jones,25,No,FALSE
1989,86,Cyborg,Action, Jean-Claude Van Damme,,Albert Pyun,31,No,FALSE
1989,103,Miami Cops,Action,Richard Roundtree,Dawn Baker,Al Bradley,40,No,FALSE
1989,,Once upon a Wheel,Action,Paul Newman,,,40,No,FALSE
1989,103,Blood & Guns,Action,Orson Welles,,,43,No,FALSE
1989,93,Streets of Fire,Action,Michael Paré,Diane Lane,Walter Hill,65,No,FALSE
1989,113,Lethal Weapon 2,Action,Mel Gibson,Patsy Kensit,Richard Donner,69,No,FALSE
1989,90,Beartooth,Action,Dub Taylor,,,70,No,FALSE
1989,125,Black Rain,Action,Michael Douglas,Kate Capshaw,Ridley Scott,73,No,FALSE
1989,74,B. A. D. Cats,Action,Vic Morrow,Michelle Pfeiffer,,87,No,FALSE
1990,94,The Final Alliance ,Action,David Hasselhoff,,Leo Mario Di,10,No,TRUE
1990,92,The Sun Shines Bright ,Action,Charles Winninger,Arleen Whelan,John Ford,46,No,TRUE
1990,,Hells Angels on Wheels,Action,Jack Nicholson,Sabrina Scharf,,1,No,FALSE
1990,107,Days of Thunder,Action,Tom Cruise,Nicole Kidman,Tony Scott,3,No,FALSE
1990,98,Trapper County War,Action,Ernie Hudson,Betsy Russell,,5,No,FALSE
1990,110,Border Shootout,Action,Glenn Ford,Charlene Tilton,,7,No,FALSE
1990,,Diamonds are Forever,Action,Sean Connery,John Jill St.,Guy Hamilton,8,No,FALSE
1990,126,Indiana Jones & the Last Crusade,Action,Harrison Ford,,Steven Spielberg,8,No,FALSE
1990,113,Total Recall,Action,Arnold Schwarzenegger,Sharon Stone,Paul Verhoeven,8,No,FALSE
1990,88,Amazon,Action,Robert Davi,Kari Vaananen,Mika Kaurismäki,30,No,FALSE
1990,90,Red Sonja,Action,Arnold Schwarzenegger,Brigitte Nielsen,,40,No,FALSE
1990,131,A View to a Kill,Action,Roger Moore,Grace Jones,,44,No,FALSE
1990,121,Rookie THe,Action,Clint Eastwood,Sonia Braga,Clint Eastwood,48,No,FALSE
1990,100,Hard To Kill,Action,Steven Seagal,Kelly LeBrock,Bruce Malmuth,49,No,FALSE
1990,98,Another Forty-Eight Hours,Action,Eddie Murphy,,,54,No,FALSE
1990,,Live & Let Die,Action,Roger Moore,Jane Seymour,,62,No,FALSE
1990,90,Big Bad John,Action,Doug English,,Burt Kennedy,84,No,FALSE
1991,,The Complete Dirty Harry Magnum Force ,Action,Clint Eastwood,,,53,No,TRUE
1991,91,Out for Justice,Action,Steven Seagal,,,2,No,FALSE
1991,142,Hook,Action,Robin Williams,Julia Roberts,Steven Spielberg,4,No,FALSE
1991,136,Terminator 2,Action,Arnold Schwarzenegger,Linda Hamilton,James Cameron,8,No,FALSE
1991,144,Robin Hood: Prince of Thieves,Action,Kevin Costner,Mary Elizabeth Mastrantonio,Kevin Costner,8,No,FALSE
1991,60,Boxing Babes,Action,Robin Nichol,Traci Lords,Stewart Dell,9,No,FALSE
1991,89,If Looks Could Kill,Action,Richard Grieco,Linda Hunt,Michael Wilmington,10,No,FALSE
1991,114,Thunderbolt & Lightfoot,Action,Clint Eastwood,,Michael Cimino,16,No,FALSE
1991,110,Freejack,Action,Emilio Estevez,Rene Russo,Tony Richardson,26,No,FALSE
1991,87,To Die Standing,Action,Cliff de Young ,Jamie Rose,Louis Morneau,53,No,FALSE
1991,88,Born to Ride,Action,John Stamos,Teri Polo,Graham Baker,59,No,FALSE
1991,95,Dogfight,Action,River Phoenix,Lili Taylor,Nancy Savoca,66,No,FALSE
1991,105,Fire Ice & Dynamite,Action,Roger Moore,,Willy Bogner,72,No,FALSE
1991,85,Circuitry Man,Action,Jim Metzler,Dana W. Nicholson,Steven Lovy,78,No,FALSE
1991,105,Predator 2,Action,Danny Glover,Maria Conchita Alonso,Stephen Hopkins,79,No,FALSE
1991,97,New Jack City,Action,Wesley Snipes,Michele Michael,Peebles Mario Van,80,No,FALSE
1992,89,The Flame & the Arrow ,Action,Burt Lancaster,Virginia Mayo,,0,No,TRUE
1992,95,The Violent Men ,Action,Glenn Ford,Barbara Stanwyck,Rudolph Mate,25,No,TRUE
1992,92,The Dead Pool ,Action,Clint Eastwood,,,26,No,TRUE
1992,105,The Crimson Pirate ,Action,Burt Lancaster,,,60,No,TRUE
1992,133,The Train ,Action,Burt Lancaster,,,68,No,TRUE
1992,116,Operation Crossbow,Action,George Peppard,Sophia Loren,,1,No,FALSE
1992,112,McQ,Action,John Wayne,,,5,No,FALSE
1992,106,Medicine Man,Action,Sean Connery,Lorraine Bracco,John McTiernan,6,No,FALSE
1992,86,Hurricane Smith,Action,Carl Weathers,Cassandra Delaney,Colin Budds,16,No,FALSE
1992,88,Adventures in Dinosaur City,Action,Omri Katz,Shawn Hoffman,Brett Thompson,19,No,FALSE
1992,85,Survival Zone,Action,Terence Ford,,Chris Jones,25,No,FALSE
1992,117,Patriot Games,Action,Harrison Ford,Anne Archer,Phillip Noyce,28,No,FALSE
1992,54,Border Feud,Action,Lash LaRue,,Ray Taylor,43,No,FALSE
1992,,Pleasure Palace,Action,Omar Sharif,Victoria Principal,,45,No,FALSE
1992,88,Back in the U.S.S.R.,Action,Frank Whaley,Natalya Negoda,,61,No,FALSE
1992,101,Romulus & the Sabines,Action,Roger Moore,,,76,No,FALSE
1992,53,Return of the Lash,Action,Lash LaRue,,Ray Taylor,78,No,FALSE
1992,,El Rublo de las Dos Caras,Action,Robert Taylor,,,83,No,FALSE
1993,,The Runaway Barge ,Action,Tim Matheson,,,38,No,TRUE
1993,88,Great White Death,Action,Glenn Ford,,,26,No,FALSE
1974,124,The Dersu Uzala ( Hunter),Adventure,Yuri Solomin,Svetlana Danilchenko,Akira Kurosawa,81,Yes,TRUE
1985,121,Ladyhawke,Adventure,Matthew Broderick,Michelle Pfeiffer,Richard Donner,68,No,FALSE
1990,110,White Hunter Black Heart,Adventure,Clint Eastwood,Charlotte Cornwell,Clint Eastwood,66,No,FALSE
1992,121,The Christopher Columbus:  Discovery,Adventure,Marlon Brando,Rachel Ward,John Glen,39,No,TRUE
1931,68,Ambassador Bill,Comedy,Will Rogers,Marguerite Churchill,Sam Taylor,66,No,FALSE
1935,75,The Count of Old Town ,Comedy,Edvin Adolphson,Ingrid Bergman,Edvin Adolphson,72,No,TRUE
1936,87,Modern Times,Comedy,Charles Chaplin,,Charles Chaplin,4,No,FALSE
1936,70,Doughnuts & Society,Comedy,Eddie Nugent,Louise Fazenda,Lewis D. Collins,28,No,FALSE
1936,89,Libeled Lady,Comedy,William Powell,Jean Harlow,Jack Conway,86,No,FALSE
1937,59,Swing It Sailor!,Comedy,Wallace Ford,Isabel Jewell,,6,No,FALSE
1937,61,Swing It Sailor!,Comedy,Wallace Ford,,Raymond Cannon,83,No,FALSE
1939,108,Ninotchka,Comedy,Melvyn Douglas,Greta Garbo,Ernst Lubitsch,40,No,FALSE
1941,95,Mr. & Mrs. Smith,Comedy,Robert Montgomery,Carole Lombard,Alfred Hitchcock,3,No,FALSE
1947,118,Life with Father,Comedy,William Powell,Irene Dunne,Michael Curtiz,10,No,FALSE
1948,89,Return of October,Comedy,Glenn Ford,Terry Moore,Joseph H. Lewis,35,No,FALSE
1950,104,Harvey,Comedy,James Stewart,Josephine Hull,Henry Koster,42,No,FALSE
1950,,Father of the Bride,Comedy,Rod Taylor,Elizabeth Taylor,Vincente Minnelli,54,No,FALSE
1952,95,Pat & Mike,Comedy,Spencer Tracy,Katharine Hepburn,George Cukor,48,No,FALSE
1952,107,Secrets of Women,Comedy,Birger Malmsten,Anita Björk,Ingmar Bergman,66,No,FALSE
1953,75,The Goon Show Movie ,Comedy,Peter Sellers,,,80,No,TRUE
1953,95,How to Marry a Millionaire,Comedy,William Powell,Marilyn Monroe,Jean Negulesco,65,No,FALSE
1954,96,A Lesson in Love,Comedy,Gunnar Björnstrand,Eva Dahlbeck,Ingmar Bergman,48,No,FALSE
1955,87,The Ladykillers ,Comedy,Alec Guinness,,Alexander Mackendrick,28,No,TRUE
1955,116,Mister Roberts,Comedy,Henry Fonda,Betsy Palmer,John Ford,8,Yes,FALSE
1955,57,Jack Benny Show,Comedy,Jack Benny,,,51,No,FALSE
1955,108,Smiles of a Summer Night,Comedy,Gunnar Björnstrand,Ulla Jacobsson,Ingmar Bergman,58,No,FALSE
1955,150,Guys & Dolls,Comedy,Marlon Brando,Jean Simmons,Joseph L. Mankiewicz,70,Yes,FALSE
1955,90,Doctor at Sea,Comedy,Dirk Bogarde,Brigitte Bardot,Ralph Thomas,83,No,FALSE
1956,27,The Case of the Mukkinese Battle Horn ,Comedy,Peter Sellers,,,45,No,TRUE
1957,99,Mademoiselle Striptease,Comedy,Daniel Gelin,Brigitte Bardot,Marc Allegret,25,No,FALSE
1957,153,Desk Set,Comedy,Spencer Tracy,Katharine Hepburn,Walter Lang,51,No,FALSE
1958,101,The Matchmaker ,Comedy,Anthony Perkins,Shirley Booth,Joseph Anthony,67,No,TRUE
1958,90,The Bride Is Much Too Beautiful ,Comedy,Louis Jourdan,Brigitte Bardot,Fred Surin,70,No,TRUE
1958,77,That Naughty Girl,Comedy,Jean Bretonniere,Brigitte Bardot,Michel Boisrond,37,No,FALSE
1958,83,Up the Creek,Comedy,Peter Sellers,,Val Guest,54,No,FALSE
1959,90,Voulez-Vous Danser Avec Moi?,Comedy,Henri Vidal,Brigitte Bardot,Michel Boisrond,16,No,FALSE
1959,88,Carlton-Browne of the F.O.,Comedy,Terry-Thomas,Marie Lohr,Roy Boulting,63,No,FALSE
1961,66,Tonight for Sure,Comedy,Karla Lee,Laura Cornell,Francis Ford Coppola,4,No,FALSE
1962,91,Road to Hong Kong,Comedy,Bob Hope,Joan Collins,Norman Panama,37,No,FALSE
1963,99,Bedtime Story,Comedy,Marlon Brando,Shirley Jones,Ralph Levy,7,No,FALSE
1963,113,Heavens Above,Comedy,Peter Sellers,,John Boulting,38,No,FALSE
1963,109,Donovan's Reef,Comedy,John Wayne,Elizabeth Allen,John Ford,62,No,FALSE
1963,118,Yesterday Today & Tomorrow,Comedy,Marcello Mastroianni,Sophia Loren,Sica Vittorio De,73,Yes,FALSE
1964,99,The Ravishing Idiot ,Comedy,Anthony Perkins,Brigitte Bardot,Edouard Molinaro,34,No,TRUE
1964,105,Ensign Pulver,Comedy,Robert Jr. Walker,,Joshua Logan,16,No,FALSE
1964,101,A Shot in the Dark,Comedy,Peter Sellers,Elke Sommer,Blake Edwards,51,No,FALSE
1965,108,What's New Pussycat?,Comedy,Peter Sellers,Paula Prentiss,Clive Donner,46,No,FALSE
1965,97,Cat Ballou,Comedy,Lee Marvin,Jane Fonda,Elliot Silverstein,62,Yes,FALSE
1965,100,Dear Brigitte,Comedy,Billy Mumy,Brigitte Bardot,Henry Koster,71,No,FALSE
1965,108,What's New Pussycat,Comedy,Peter O'Toole,Paula Prentiss,Clive Donner,83,No,FALSE
1966,126,The Fortune Cookie ,Comedy,Jack Lemmon,Judi West,Billy Wilder,3,Yes,TRUE
1966,107,The Wrong Box ,Comedy,John Mills,,Bryan Forbes,40,No,TRUE
1966,127,The Russians Are Coming the Russians Are ,Comedy,Carl Reiner,Eva Marie Saint,Norman Jewison,,,TRUE
1966,104,A Fine Madness,Comedy,Sean Connery,Joanne Woodward,Irvin Kershner,6,No,FALSE
1966,95,A Big Hand for the Little Lady,Comedy,Henry Fonda,Joanne Woodward,Fielder Cook,12,No,FALSE
1966,103,After the Fox,Comedy,Peter Sellers,Britt Ekland,Sica Vittorio De,60,No,FALSE
1967,103,The Bobo ,Comedy,Peter Sellers,Britt Ekland,Robert Parrish,80,No,TRUE
1967,130,Casino Royale,Comedy,David Niven,Ursula Andress,Ken Hughes,11,No,FALSE
1967,85,Thirty Is a Dangerous Age Cynthia,Comedy,Dudley Moore,,Joseph McGrath,28,No,FALSE
1967,99,Woman Times Seven,Comedy,Peter Sellers,Shirley MacLaine,Sica Vittorio De,36,No,FALSE
1967,107,Bedazzled,Comedy,Peter Cook,Raquel Welch,Stanley Donen,67,No,FALSE
1968,73,The Firemen's Ball ,Comedy,Jan Vostrcil,,Milos Forman,8,No,TRUE
1968,,The Secret War of Harry Frigg ,Comedy,Paul Newman,,,28,No,TRUE
1968,90,The Producers ,Comedy,Gene Wilder,Zero Mostel,Mel Brooks,33,No,TRUE
1968,,The Bliss of Mrs. Blossom ,Comedy,James Booth,Shirley MacLaine,Joseph McGrath,86,No,TRUE
1969,125,The Those Daring Young Men in ir Jaunty,Comedy,Tony Curtis,Susan Hampshire,,59,No,TRUE
1969,103,Cactus Flower,Comedy,Walter Matthau,Ingrid Bergman,Gene Saks,67,Yes,FALSE
1970,94,The re's a Girl in My Soup,Comedy,Peter Sellers,Goldie Hawn,Roy Boulting,41,No,TRUE
1970,26,Bloopers from Star Trek,Comedy,Peter Lawford,Carol Channing,,22,No,FALSE
1970,94,Think Dirty,Comedy,Marty Feldman,Shelley Berman,Jim Clark,31,No,FALSE
1970,90,Quackser Fortune Has a Cousin in the Bronx,Comedy,Gene Wilder,Margot Kidder,Hussein Waris,49,No,FALSE
1970,117,Catch Twenty-Two,Comedy,Alan Arkin,,Mike Nichols,50,No,FALSE
1970,91,Start the Revolution Without Me,Comedy,Gene Wilder,Billie Whitelaw,Bud Yorkin,62,No,FALSE
1970,110,Trash,Comedy,Joe Dallesandro,Holly Woodlawn,Paul Morrissey,68,No,FALSE
1970,126,Getting Straight,Comedy,Elliott Gould,Candice Bergen,Richard Rush,83,No,FALSE
1971,88,And Now for Something Completely Different,Comedy,John Cleese,,Ian MacNaughton,44,No,FALSE
1971,102,A New Leaf,Comedy,Walter Matthau,Rose Arrick,Elaine May,83,No,FALSE
1972,105,The Hideaways ,Comedy,Johnny Doran,Sally Prager,Fielder Cook,42,No,TRUE
1972,100,Le Charme Discret de la Bourgeoisie,Comedy,Fernando Rey,Delphine Seyrig,Luis Bunuel,4,Yes,FALSE
